tool,trial,crash_id,cat,bug,loc,desc,exp,num_reports,min_asyncs_in_log,max_programs_from_end_of_log_to_asyncs
rand-preempt-sect_rw,4,e162a14486b7fa92c447c9877290d98f15de6126,WARNING,,__btrfs_free_extent,WARNING in __btrfs_free_extent,long-term-18-MAR-2025,1,0,
rand-preempt-sect_rw,4,80cca76d88cb4da525ca17f66228ddf1e34b7d69,KASAN,use-after-free Read,post_alloc_hook,KASAN: use-after-free Read in post_alloc_hook,long-term-18-MAR-2025,1,0,
rand-preempt-sect_rw,4,c34d1bbeac0e46a9296ceb76d20d231534bcdc5f,SYZFATAL,,,SYZFATAL: executor NUM failed NUM times: failed to create temp dir: mkdir ./syzkaller-testdirNUM: no space left on devic,long-term-18-MAR-2025,1,0,
rand-preempt-sect_rw,4,d298cfd5c4896f6cd3ca915ac803c7bb424a25ff,KASAN,slab-use-after-free Read,__ocfs2_find_path,KASAN: slab-use-after-free Read in __ocfs2_find_path,long-term-18-MAR-2025,2,0,
rand-preempt-sect_rw,4,8f18e06f97063c20d91c6fe855e3d4865d4e28f8,INFO,rcu detected stall,shmem_file_read_iter,INFO: rcu detected stall in shmem_file_read_iter,long-term-18-MAR-2025,1,0,
rand-preempt-sect_rw,4,78c0bcefdfcbad9a237a58a859bb44e10a06007d,OTHER,general protection fault,do_pagemap_cmd,general protection fault in do_pagemap_cmd,long-term-18-MAR-2025,3,0,
rand-preempt-sect_rw,4,940a6e3e4f852aa8ddc5ff36dc67cdb84dc1e8bc,WARNING,,ath6kl_bmi_get_target_info,WARNING in ath6kl_bmi_get_target_info,long-term-18-MAR-2025,3,0,
rand-preempt-sect_rw,4,afcca8abda4a8ae1eab5c7ed21368c0187640b34,OTHER,possible deadlock,mi_read,possible deadlock in mi_read,long-term-18-MAR-2025,1,0,
rand-preempt-sect_rw,4,10aee77ff93a1e88f3e4748eebcd94c9b30aae67,KASAN,slab-out-of-bounds Write,hfs_bnode_read,KASAN: slab-out-of-bounds Write in hfs_bnode_read,long-term-18-MAR-2025,9,0,
rand-preempt-sect_rw,4,c0addd8b0397a51f224ad9144c7297df34762181,INFO,rcu detected stall,sys_clock_adjtime,INFO: rcu detected stall in sys_clock_adjtime,long-term-18-MAR-2025,16,0,
rand-preempt-sect_rw,4,e9f5b11984c54cecb386b92bb20c76d5d003719f,OTHER,,,no output from test machine,long-term-18-MAR-2025,0,0,
rand-preempt-sect_rw,4,8a1638229db60175d7fa5e570f8e450a1b567a94,WARNING,,ieee80211_start_next_roc,WARNING in ieee80211_start_next_roc,long-term-18-MAR-2025,1,1,
rand-preempt-sect_rw,4,55993dff4f027c4739dbe23c44fb23013e6b3612,INFO,task hung,rfkill_global_led_trigger_worker,INFO: task hung in rfkill_global_led_trigger_worker,long-term-18-MAR-2025,5,0,
rand-preempt-sect_rw,4,b374624f5a343655153337ff53e38702f1bca05e,WARNING,locking bug,kvm_xen_set_evtchn_fast,WARNING: locking bug in kvm_xen_set_evtchn_fast,long-term-18-MAR-2025,2,1,-1
rand-preempt-sect_rw,4,910e3195261654c617977513fc7cef18d9dde9bd,WARNING,,format_decode,WARNING in format_decode,long-term-18-MAR-2025,34,0,-1
rand-preempt-sect_rw,4,6fe82abb6044933681b9787680ee4a92ac94fa79,KASAN,vmalloc-out-of-bounds Write,vrealloc_noprof,KASAN: vmalloc-out-of-bounds Write in vrealloc_noprof,long-term-18-MAR-2025,3,0,-93
rand-preempt-sect_rw,4,e44f9133d5d101caa7d9d5fc9974a77d7462b95f,WARNING,,udf_setsize,WARNING in udf_setsize,long-term-18-MAR-2025,2,1,
rand-preempt-sect_rw,4,348d04fcf145bb6b19c1097d130b6f8402a811b1,INFO,rcu detected stall,kcompactd,INFO: rcu detected stall in kcompactd,long-term-18-MAR-2025,1,0,
rand-preempt-sect_rw,4,14692319382598dac4dee0cca30dcdf451cb5eb7,WARNING,,rate_control_rate_init,WARNING in rate_control_rate_init,long-term-18-MAR-2025,15,0,
