tool,trial,crash_id,cat,bug,loc,desc,exp,num_reports,min_asyncs_in_log,max_programs_from_end_of_log_to_asyncs
sect_pos,0,e4d7937b21c07e00ffbdb683422c8175573d0bac,BUG,soft lockup,sys_socket,BUG: soft lockup in sys_socket,cover_eval_cp,1,,
sect_pos,0,e9f5b11984c54cecb386b92bb20c76d5d003719f,OTHER,,,no output from test machine,cover_eval_cp,0,,
sect_pos,0,8a1638229db60175d7fa5e570f8e450a1b567a94,WARNING,,ieee80211_start_next_roc,WARNING in ieee80211_start_next_roc,cover_eval_cp,1,,
sect_pos,0,910e3195261654c617977513fc7cef18d9dde9bd,WARNING,,format_decode,WARNING in format_decode,cover_eval_cp,2,,
sect_pos,0,14692319382598dac4dee0cca30dcdf451cb5eb7,WARNING,,rate_control_rate_init,WARNING in rate_control_rate_init,cover_eval_cp,32,,
sect_pos,0,a452f0e64788cc908f0eebdc7cdf2c97d97d3c3b,INFO,task hung,lookup_slow,INFO: task hung in lookup_slow,cover_eval_cp,1,,
sect_pos,0,d55cddbfbe70446f2d66df758e7e93c285e69db9,WARNING,,call_timer_fn,WARNING in call_timer_fn,cover_eval_cp,1,,
sect_pos,0,aac06202f00169294688682e50daecc9c98a831b,BUG,soft lockup,ieee80211_handle_queued_frames,BUG: soft lockup in ieee80211_handle_queued_frames,cover_eval_cp,4,,
sect_pos,0,972be4156c4dc35f22a107eb9526698fcb412be4,BUG,soft lockup,__run_timer_base,BUG: soft lockup in __run_timer_base,cover_eval_cp,1,,
sect_pos,0,efb8c5fe01ecb5116825ce2409485c164c048f88,BUG,,,BUG: workqueue lockup,cover_eval_cp,4,,
sect_pos,0,c00fed0a9991b177120ce04c4bc50ad35f46f830,BUG,unable to handle kernel NULL pointer dereference,filldir,BUG: unable to handle kernel NULL pointer dereference in filldir,cover_eval_cp,1,,
sect_pos,0,02c21219d36edc62db775545d5206fd5a3150199,KASAN,slab-use-after-free Read,v4l2_fh_init,KASAN: slab-use-after-free Read in v4l2_fh_init,cover_eval_cp,1,,
sect_pos,0,78cdfde87b5285c5274cf9336a873c5072c53d29,WARNING,,p9_client_create,WARNING in p9_client_create,cover_eval_cp,36,,
sect_pos,0,733343303fca2ceb29ab47d7e2a5c230a0c592d6,WARNING,,vkms_get_vblank_timestamp,WARNING in vkms_get_vblank_timestamp,cover_eval_cp,1,,
sect_pos,0,cd367225e88e6f04ce54c803a635de69bd9bfe10,KASAN,slab-use-after-free Read,em28xx_unregister_media_device,KASAN: slab-use-after-free Read in em28xx_unregister_media_device,cover_eval_cp,1,,
sect_pos,0,7710d479d25bd92fa8c6ab0739174ea86b45b806,BUG,unable to handle kernel paging request,filldir64,BUG: unable to handle kernel paging request in filldir64,cover_eval_cp,16,,
sect_pos,0,5983a65cfeddb32fed63f8a733b3d810e05ba119,INFO,task hung,_free_event,INFO: task hung in _free_event,cover_eval_cp,1,,
sect_pos,0,b8cd92c1478d22bf00f49d211bf24287a812a0e0,INFO,task hung,bdev_release,INFO: task hung in bdev_release,cover_eval_cp,16,,
sect_pos,0,50b1d6f2fe0ed12b1cab0d134516164980c7323d,BUG,unable to handle kernel paging request,sys_pselect6,BUG: unable to handle kernel paging request in sys_pselect6,cover_eval_cp,19,,
